Country,Year,MW,GW
Canada,2005,18,0.018
Canada,2006,22,0.022
Canada,2007,29,0.029
Canada,2008,38,0.038
Canada,2009,107,0.107
Canada,2010,249,0.249
Canada,2011,628,0.628
Canada,2012,766,0.766
Canada,2013,1210,1.21
Canada,2014,1843,1.843
Canada,2015,2519,2.519
Canada,2016,2665,2.665
Canada,2017,2932,2.932
Canada,2018,3095,3.095
Canada,2019,3327,3.327
Canada,2020,3342,3.342
Canada,2021,3629.6,3.6296
Canada,2022,4400.95,4.40095
US,2005,493,0.493
US,2006,698,0.698
US,2007,974,0.974
US,2008,1153,1.153
US,2009,1614,1.614
US,2010,3382,3.382
US,2011,5643.5,5.6435
US,2012,8613,8.613
US,2013,12325.88,12.32588
US,2014,18112.13,18.11213
US,2015,24236.850000000002,24.23685
US,2016,35433.67,35.43367
US,2017,43769.840000000004,43.76984
US,2018,51986.99,51.98699
US,2019,61587.229999999996,61.58723
US,2020,76441.09999999999,76.44109999999999
US,2021,95390.91,95.39091
US,2022,113015,113.015
France,2005,13,0.013
France,2006,15,0.015
France,2007,26,0.026
France,2008,80,0.08
France,2009,277,0.277
France,2010,1044,1.044
France,2011,3003.57,3.0035700000000003
France,2012,4358.75,4.35875
France,2013,5277.29,5.27729
France,2014,6034.42,6.03442
France,2015,7137.52,7.13752
France,2016,7702.08,7.70208
France,2017,8610.44,8.61044
France,2018,9672.3,9.6723
France,2019,10816.87,10.816870000000002
France,2020,12064.98,12.06498
France,2021,14819.38,14.819379999999999
France,2022,17419.38,17.41938
Germany,2005,2056,2.056
Germany,2006,2899,2.899
Germany,2007,4170,4.17
Germany,2008,6120,6.12
Germany,2009,10564,10.564
Germany,2010,18006,18.006
Germany,2011,25916,25.916
Germany,2012,34077,34.077
Germany,2013,36710,36.71
Germany,2014,37900,37.9
Germany,2015,39224,39.224
Germany,2016,40679,40.679
Germany,2017,42293,42.293
Germany,2018,45158,45.158
Germany,2019,48914,48.914
Germany,2020,53671,53.671
Germany,2021,59373,59.373
Germany,2022,66554,66.554
Italy,2005,34,0.034
Italy,2006,45,0.045
Italy,2007,110,0.11
Italy,2008,483,0.483
Italy,2009,1264,1.264
Italy,2010,3596.72,3.59672
Italy,2011,13135.72,13.13572
Italy,2012,16789.72,16.789720000000003
Italy,2013,18190.07,18.19007
Italy,2014,18600.07,18.60007
Italy,2015,18907.07,18.90707
Italy,2016,19289.07,19.28907
Italy,2017,19688.36,19.68836
Italy,2018,20113.66,20.11366
Italy,2019,20871.35,20.87135
Italy,2020,21656.11,21.65611
Italy,2021,22600.329999999998,22.60033
Italy,2022,25082.63,25.08263
Netherlands,2005,51,0.051
Netherlands,2006,53,0.053
Netherlands,2007,54,0.054
Netherlands,2008,59,0.059
Netherlands,2009,69,0.069
Netherlands,2010,90,0.09
Netherlands,2011,149,0.149
Netherlands,2012,287,0.287
Netherlands,2013,650,0.65
Netherlands,2014,1007,1.007
Netherlands,2015,1526.26,1.52626
Netherlands,2016,2135.02,2.13502
Netherlands,2017,2910.89,2.9108899999999998
Netherlands,2018,4608,4.608
Netherlands,2019,7226,7.226
Netherlands,2020,11108.43,11.10843
Netherlands,2021,14910.69,14.91069
Netherlands,2022,22589.69,22.589689999999997
Sweden,2005,4,0.004
Sweden,2006,5,0.005
Sweden,2007,6,0.006
Sweden,2008,8,0.008
Sweden,2009,9,0.009
Sweden,2010,11,0.011
Sweden,2011,12,0.012
Sweden,2012,24,0.024
Sweden,2013,43,0.043
Sweden,2014,60,0.06
Sweden,2015,104,0.104
Sweden,2016,153,0.153
Sweden,2017,244,0.244
Sweden,2018,428,0.428
Sweden,2019,714,0.714
Sweden,2020,1107,1.107
Sweden,2021,1606,1.606
Sweden,2022,2606,2.606
Switzerland,2005,28,0.028
Switzerland,2006,30,0.03
Switzerland,2007,37,0.037
Switzerland,2008,49,0.049
Switzerland,2009,79,0.079
Switzerland,2010,125,0.125
Switzerland,2011,223,0.223
Switzerland,2012,437,0.437
Switzerland,2013,756,0.756
Switzerland,2014,1061,1.061
Switzerland,2015,1394,1.394
Switzerland,2016,1664,1.664
Switzerland,2017,1906,1.906
Switzerland,2018,2173,2.173
Switzerland,2019,2498,2.498
Switzerland,2020,2973.39,2.9733899999999998
Switzerland,2021,3448.78,3.44878
Switzerland,2022,4133.7,4.1337
Turkey,2005,2,0.002
Turkey,2006,2.5,0.0025
Turkey,2007,3,0.003
Turkey,2008,3.7,0.0037
Turkey,2009,4.7,0.0047
Turkey,2010,5.7,0.0057
Turkey,2011,6.7,0.0067
Turkey,2012,11.7,0.011699999999999999
Turkey,2013,18.7,0.018699999999999998
Turkey,2014,41,0.041
Turkey,2015,250,0.25
Turkey,2016,834,0.834
Turkey,2017,3421.7,3.4217
Turkey,2018,5063.61,5.06361
Turkey,2019,5996.16,5.99616
Turkey,2020,6668.42,6.66842
Turkey,2021,7816.62,7.8166199999999995
Turkey,2022,9426.42,9.42642
Ukraine,2005,0,0
Ukraine,2006,0,0
Ukraine,2007,0,0
Ukraine,2008,0,0
Ukraine,2009,0,0
Ukraine,2010,2.5,0.0025
Ukraine,2011,188.2,0.18819999999999998
Ukraine,2012,371.6,0.37160000000000004
Ukraine,2013,748.4,0.7484
Ukraine,2014,819.1,0.8191
Ukraine,2015,841.2,0.8412000000000001
Ukraine,2016,954.7,0.9547
Ukraine,2017,1200,1.2
Ukraine,2018,2002.69,2.00269
Ukraine,2019,5935.69,5.935689999999999
Ukraine,2020,7331,7.331
Ukraine,2021,8062,8.062
Ukraine,2022,8062,8.062
Total Europe,2005,2317.507,2.317507
Total Europe,2006,3269.167,3.269167
Total Europe,2007,5042.852,5.042852
Total Europe,2008,10461.86,10.46186
Total Europe,2009,16840.442,16.840442
Total Europe,2010,30863.56,30.86356
Total Europe,2011,54727.369999999995,54.72736999999999
Total Europe,2012,73644.49,73.64449
Total Europe,2013,84207.40999999999,84.20741
Total Europe,2014,91130.81999999999,91.13081999999999
Total Europe,2015,99847.06999999999,99.84706999999999
Total Europe,2016,106958.49,106.95849000000001
Total Europe,2017,115639.20999999999,115.63920999999999
Total Europe,2018,126510.96,126.51096000000001
Total Europe,2019,148111.95999999996,148.11195999999995
Total Europe,2020,169304.59000000005,169.30459000000005
Total Europe,2021,197804.23999999996,197.80423999999996
Total Europe,2022,236957.00000000003,236.95700000000002
United Arab Emirates,2005,0,0
United Arab Emirates,2006,0,0
United Arab Emirates,2007,0,0
United Arab Emirates,2008,0,0
United Arab Emirates,2009,10.076,0.010076
United Arab Emirates,2010,10.83,0.01083
United Arab Emirates,2011,12.75,0.01275
United Arab Emirates,2012,13.21,0.013210000000000001
United Arab Emirates,2013,125.8,0.1258
United Arab Emirates,2014,133.17000000000002,0.13317
United Arab Emirates,2015,133.51999999999998,0.13351999999999997
United Arab Emirates,2016,140.51999999999998,0.14051999999999998
United Arab Emirates,2017,355.15,0.35514999999999997
United Arab Emirates,2018,598.42,0.59842
United Arab Emirates,2019,1917.9799999999998,1.9179799999999998
United Arab Emirates,2020,2060.71,2.06071
United Arab Emirates,2021,2732.6,2.7325999999999997
United Arab Emirates,2022,3040.05,3.0400500000000004
Australia,2005,52,0.052
Australia,2006,61,0.061
Australia,2007,70,0.07
Australia,2008,82,0.082
Australia,2009,329,0.329
Australia,2010,1091,1.091
Australia,2011,2473,2.473
Australia,2012,3799,3.799
Australia,2013,4568,4.568
Australia,2014,5287,5.287
Australia,2015,5946,5.946
Australia,2016,6689,6.689
Australia,2017,7354,7.354
Australia,2018,8626,8.626
Australia,2019,12970,12.97
Australia,2020,17986,17.986
Australia,2021,22870,22.87
Australia,2022,26792,26.792
China,2005,141.2,0.1412
China,2006,160.2,0.16019999999999998
China,2007,199,0.199
China,2008,253,0.253
China,2009,414.8,0.4148
China,2010,1021.8,1.0218
China,2011,3107.8,3.1078
China,2012,6718.8,6.7188
China,2013,17758.8,17.7588
China,2014,28398.8,28.398799999999998
China,2015,43548.8,43.5488
China,2016,77818.8,77.8188
China,2017,130833.3,130.8333
China,2018,175262.9,175.2629
China,2019,205059.8,205.0598
China,2020,254054.8,254.0548
China,2021,307068.14,307.06814
China,2022,393127.14,393.12714
Japan,2005,1422,1.422
Japan,2006,1708,1.708
Japan,2007,1919,1.919
Japan,2008,2144,2.144
Japan,2009,2627,2.627
Japan,2010,3618,3.618
Japan,2011,4914,4.914
Japan,2012,6632,6.632
Japan,2013,13599,13.599
Japan,2014,23339,23.339
Japan,2015,34150,34.15
Japan,2016,42040,42.04
Japan,2017,49500,49.5
Japan,2018,56162,56.162
Japan,2019,63192,63.192
Japan,2020,69764,69.764
Japan,2021,74191,74.191
Japan,2022,78833,78.833
Total World,2005,4548.119,4.548119
Total World,2006,6093.193,6.093193
Total World,2007,8506.466,8.506466
Total World,2008,14729.540999999997,14.729540999999998
Total World,2009,22844.466999999997,22.844466999999998
Total World,2010,41593.189999999995,41.59318999999999
Total World,2011,73909.56,73.90956
Total World,2012,104212,104.212
Total World,2013,140514.55,140.51454999999999
Total World,2014,180712.11,180.71211
Total World,2015,228919.56,228.91956
Total World,2016,301082.30000000005,301.08230000000003
Total World,2017,395946.67,395.94667
Total World,2018,489306.14,489.30614
Total World,2019,592244.6899999998,592.2446899999999
Total World,2020,720428.77,720.42877
Total World,2021,861537.32,861.5373199999999
Total World,2022,1053115.3599999999,1053.1153599999998
